FIPS,County,State,Population,Percent Age 0-29,Percent Age 30-59,Percent Age 60+,Percent Male,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Pacific Islander,Percent Hispanic,Percent Poverty,Median Household Income,Percent Uninsured,Percent Unemployed,Percent Renters,Percent Housing Insecurity,Percent Owners Housing Insecurity,Percent Renters Housing Insecurity,"Developed, High Intensity (HID)","Developed, Medium Intensity (MID)","Developed, Low Intensity (LID)","Developed, Open Space (OSD)",Cultivated Crops (CRP),Pasture/Hay (PAS),Grassland (GRS),Deciduous Forest (DFO),Evergreen Forest (EFO),Mixed Forest (MFO),Scrub/Shrub (SHB),Woody Wetland (WDW),Emergent Herbaceous Wetland (EHW),Barren Land (BRN),Open Water (WTR),Perennial Snow/Ice (PIS),Percent Area Developed,Percent Area Agriculture,Percent Area Undeveloped,Total Area,Avg Winter Temperature,Avg Spring Temperature,Avg Summer Temperature,Avg Autumn Temperature,Winter Precipitation,Spring Precipitation,Summer Precipitation,Autumn Precipitation,Avg Annual Temperature,Annual Precipitation,"HIV Prevalence (per 100,000)",Diabetes Percentage,Adult Smoking Percentage,Excessive Drinking Percentage,Food Insecurity Percentage,Enrolled in Medicare,Population Density,Reported CKD Prevalence (%),Medicare Beneficiaries with CKD Percentage
1001,Autauga,Alabama,-0.15728197442960556,0.24047222373133345,1.201873180682851,-0.8200963855676561,-0.7031305520496901,-0.5370400191637327,0.7041464682222868,-0.27866905457990737,-0.0928531551925958,-0.09197128868554864,-0.4872378114209994,-0.41254230416021886,0.17236663163712604,-0.47458728198941663,-0.7527435752373701,-0.20761369044577757,0.08012778189241773,0.11643811883897608,0.26286094244408015,-0.23020345220609886,-0.2874624266526014,-0.2503368927185105,-0.03622025053345994,-0.7035229958813352,0.4145014859370792,-0.14586049921290256,-0.08305572132142908,0.8754580176758469,1.2336943415859996,-0.041662717269526486,0.4329486585537103,-0.14269232708699972,-0.0987850970825122,-0.3055437994261267,-0.08602139992103093,-0.23067972017410932,-0.5051510281916395,0.5907104188425634,-0.28990147672176453,1.2631748519340618,1.2535116124038033,1.148375028882432,1.2765490369856762,1.1416947412445513,0.06726727251582823,-0.3264157094269808,-0.5345358649185743,1.2739417137738267,0.3143034371503882,0.2133756437344818,0.04750660025410388,-0.1146360010152266,-0.8859960529555155,0.762951507703092,-0.1694263185164753,-0.051551323473779984,-0.3019198442567089,0.02529171905281604
1003,Baldwin,Alabama,0.3328942497199723,-0.5306522318562631,0.3943485983349656,0.2924870860698948,-0.703870463249398,0.1793706523801204,-0.07546758989478247,-0.1942289068210375,-0.16260015591851365,-0.17922626956029994,-0.36308978394195196,-0.7567133130730604,0.2848035621513763,-0.18045512331052588,-0.7527435752373701,-0.44901754061280247,-0.18188027926002873,-0.047788587040877475,0.024848277844403827,-0.17601281754913028,-0.16663983825721387,-0.16707316904073494,-0.056750533718757996,-0.5423572591995082,-0.4278457593603905,-0.2701801743723419,-0.8287697171076284,1.2008214062746776,-0.5841999473901955,-0.23597870363642187,1.7277848965666294,0.22705037649788465,0.08460578299533894,1.3987513692046794,-0.08602139992103093,-0.15995885847686336,-0.7276124563490929,0.7764595546199232,0.7694332225586052,1.613712677512764,1.4336101090971305,1.2631292966163485,1.516522288876413,0.7095589651512741,0.07360541387591109,1.6042141029537482,0.1375503606133191,1.5211530531662873,0.9281852549621924,-0.037585716618492686,-0.8113665253124961,-0.1146360010152266,0.9000086430384084,-0.0535356401590872,0.6246895018424734,-0.047850225171117124,0.07302951144204733,-0.15878408673019997
1005,Barbour,Alabama,-0.24861029993168954,-0.16398491544582966,0.537433606476555,-0.11657526196652786,1.3013389081627507,-2.3141181479345034,2.597460721838628,-0.2535571557461743,-0.47246242185623766,0.15257833199096119,-0.3770273894943079,2.16874026268608,-1.3556910668840738,0.23132989883992133,0.03202500630810057,1.3228441097894084,0.5656129264622081,0.2454251827739901,0.1695328886563418,-0.2542845942314197,-0.3867510135238953,-0.4386103215563594,-0.4656041710735805,-0.6509021591600622,-0.15962496418680158,-0.21258639472099738,-0.48056045871973657,1.6507950673179417,1.7787299014848394,0.15279201959776628,0.2916451192174539,-0.32078180337320683,-0.13159579774773184,-0.22624309990117683,-0.08602139992103093,-0.44727019058279244,-0.7131226977143743,0.8864140534689028,-0.06643881361641006,1.342842539565585,1.295887729272822,1.0991946284250398,1.2994036324038418,0.3401095516394296,-0.427107753570616,-0.3171516508263057,-0.3575360574311672,1.3100512352581188,-0.160939760565566,1.626953918375726,2.624125976953904,1.8047304565176885,-1.481330951620157,2.123763420806724,-0.2612630965914997,-0.0651800373080545,0.5183728865796245,0.21582632503874474
1007,Bibb,Alabama,-0.2553230768309865,-0.15767101751366583,1.624664580055018,-0.6638522814183081,1.4588698393185566,-0.5488418372637192,0.7596034640227853,-0.29380663910923754,-0.5363616726632974,-0.12218386356940741,-0.5022493281789548,0.9985588323824247,-0.5356840022178749,-0.16084631273193314,-0.5387157802704237,-0.34276480160053385,-0.5368896499133469,-0.4655762630090831,-0.3344304244269404,-0.2745111315130554,-0.3911330899619726,-0.4223137960732831,-0.14956497782884182,-0.8198471524850188,-0.4092581079656753,-0.19276538859836112,0.25084318664753774,1.6756906746103375,1.6297633419164412,-0.05147432969777274,0.05000904891798011,-0.3363946258574352,-0.09735054697077826,-0.37646486928438166,-0.08602139992103093,-0.3611549927098723,-0.9924254372518052,1.1207792608619915,-0.2735265759863626,1.095872707907863,1.0840071449277306,0.9024730265954687,1.036575785094941,1.6898669757332452,-0.2813305022887155,-0.17819077181617643,-0.057405949082955265,1.0711728623620351,0.6340465609750515,0.14167239791934624,0.9063797258207039,1.0849680349428452,-0.8859960529555155,0.762951507703092,-0.2881946481810575,-0.06341047842301921,1.6391298185368304,2.424735994434936
1009,Blount,Alabama,-0.1515503407507556,0.015830214305262557,0.5285320358178405,-0.27780231976027325,-0.3657724290229329,0.6865441958754837,-0.5732165726037209,-0.2225226333104404,-0.49912495906699045,-0.16581347367305574,-0.008564111727639252,0.31021681455674494,-0.19356821364460058,0.4862444363616264,-0.8240861735596857,-0.8844397619145182,-1.0193246838229166,-0.8820585579652852,-0.5361308445826638,-0.2355033434236897,-0.300445966841161,-0.17001355843485536,0.4222305688476471,-0.7774991985126776,1.4765770503477085,-0.3681785935087681,0.9849859534861163,0.11821641007014524,0.49842130552934677,-0.2933879766967617,-0.5695887930628459,-0.3766664617058477,-0.06544990129834403,-0.3279114985696114,-0.08602139992103093,-0.0831970028326618,-0.09741684439513906,0.13062957555466304,-0.2554613148749098,0.928570563881664,0.9462847651034221,0.7713252920424222,0.8880209148768669,2.2166991718963454,0.4750210333478103,0.020060082238274712,0.6121150618476712,0.9184018099284925,1.3341091426302216,-0.5548734185705422,0.04750660025410388,0.36520561336800217,-0.8859960529555155,0.4907891250823656,-0.13227612400273503,-0.052296755340769566,1.1653521044342257,1.426851363084902
1011,Bullock,Alabama,-0.2913266398427916,-0.06804165191110226,1.1195195036453358,-0.49485494730967333,2.029396491179262,-3.742907324078605,4.0792829609387615,-0.22857917565339697,-0.5424342163750413,2.5373259256201477,-0.08756181806341336,2.6677882256096974,-1.6347927515427685,-0.14123750215334038,-0.039317592014215016,0.05446274620646808,0.188758738751539,0.20180883505933786,0.21016586002748186,-0.2821179556738931,-0.44224654441346717,-0.5144158150741212,-0.6696851940056183,-0.7456448905799097,0.2730555766685194,-0.24230373131233418,-0.274641430478381,1.3682339378966788,1.4898282756966639,0.040830347790706704,0.7287660043112307,-0.3017165522265895,-0.21707820199926572,-0.3320912639569946,-0.08602139992103093,-0.5514446638136287,-0.6106274397253252,0.8317415626921731,-0.2744648376928932,1.3189422332761278,1.2429175831865493,1.0172272943293854,1.2536944415675104,0.6081937831047032,-0.053157413325741205,-0.09296143268996365,-0.537101079519841,1.2628310917786605,0.10697000529533326,2.190336564066077,3.0535625397372037,1.0849680349428452,-1.7789984009524775,0.762951507703092,-0.33412239495018525,-0.06750938920257388,-0.2741467338173971,-0.3541627928683135
1013,Butler,Alabama,-0.2639512795994545,-0.22456964328469362,-0.14114507591456363,0.27718439343232304,-1.6496995358944864,-2.130256676041327,2.3606361391958743,-0.30625622982813633,-0.12109707633657639,-0.5087386627120213,-0.5953649231296955,1.2222699881757704,-1.0830418068092251,-0.04319344926037889,-0.039317592014215016,0.2048647661601723,-0.14427405065790788,0.05386068362411157,-0.45664671846413646,-0.27154154626869653,-0.4182562255601706,-0.5386533568101204,-0.23275701909270136,-0.7855241875034549,-0.2446318914001693,-0.2051310371667818,-0.3710900434871666,2.0096317764397345,1.5360776211695455,0.11805288447028581,0.4447537736100396,-0.2959475252981184,-0.22409224400746458,-0.3939551876826378,-0.08602139992103093,-0.4313572509040218,-0.8841393139742606,1.0458098478250306,-0.16095006424565997,1.398609920907651,1.2852937000555664,1.0500142279676477,1.3108309301129237,0.8282629283373903,-0.09118626148623724,-0.18745483041685151,-0.07023202208928929,1.3211618572532864,0.28058052955950585,1.1045445560083096,1.7652528513873038,1.0849680349428452,-1.481330951620157,1.0351138903238184,-0.2842269699760636,-0.06565731336371045,1.427929040389799,1.173343455120573
1015,Calhoun,Alabama,0.011814398632265355,0.15202350869795064,0.2821746407980842,-0.28058424844980734,-0.9455004200791566,-0.6020178694148096,0.7947146003459351,-0.2534039185861645,-0.20860707205725107,0.22419132754236315,-0.4103217941573279,0.46509376856752255,-0.5474219235352967,0.01563298247540123,-0.1820027886588462,0.18950774620311725,-0.0527425198970045,-0.2676618250650081,0.17957318935376065,-0.06076174468355887,-0.06651829456287274,0.2801064192459527,1.5178814738681523,-0.7683863394291987,0.36441819017122973,-0.2940190282570602,1.0316131630867835,0.4279606369093498,0.47346253970088636,-0.2714792139705503,-0.5378089456557981,-0.3568229749998755,-0.07502064290459426,-0.3533280431471992,-0.08602139992103093,0.47702563673060905,-0.5916790562772063,0.3692951151539332,-0.2873324268110262,0.9524708701711208,0.9780668527551853,0.7549318252232922,0.9223028080041145,1.9139373781519815,-0.28344321607541,0.34059650982163964,0.32737624110706004,0.9406230539188264,1.0068720393409183,0.46945866450282314,0.9063797258207039,0.6051264205596165,-0.8859960529555155,1.0351138903238184,0.12534222737340336,-0.03178980095478452,0.5548419969885268,0.4725636331045301
1017,Chambers,Alabama,-0.2235164637741083,-0.2216495342553183,0.12526122070736975,0.1418191321413418,-1.0169021201013986,-1.8003124755028135,2.049197405565022,-0.3187232794371205,-0.2311986697892418,-0.47686682542369896,-0.5139436527426139,0.8780989792629307,-0.9408825375204509,0.07445941421117944,-0.6100583785927393,0.5102257887589379,0.5162996647246038,0.19805182082340034,0.6194030885792248,-0.22676869325713314,-0.36243223976245487,-0.24094748438143107,-0.009787678429513636,-0.8202576841988991,0.12525239741411306,-0.06526041317379246,0.24893468375706643,1.8824416118713292,0.23001849976759897,-0.1692536444852625,-0.0721359433648206,-0.36659929705751665,-0.20422112359997902,-0.31830589240965124,-0.08602139992103093,-0.2420400243989824,-0.7509717851064566,0.8346071200916735,-0.2907950592994127,1.0560388640921012,0.9780668527551853,0.7221448915850299,0.9337301057131965,1.1777060559189911,0.23839708923805902,0.3572718153028551,-0.05227551988042184,0.9739549199043263,0.7295947991492181,1.1608828205773447,1.335816288604004,0.845047227751231,-1.481330951620157,0.4907891250823656,-0.21108693966891148,-0.05935637171589814,1.3406681336773232,0.8584769452285723
1019,Cherokee,Alabama,-0.24418783347534645,-0.9738806223492568,-0.11260029166224672,0.9532942818667178,-0.3177757273453751,0.5311252046757844,-0.4007537263899397,-0.2018374213288806,-0.4875558693690897,-0.5631335089421781,-0.5789840894170448,0.2413826127741769,-0.6685764915192111,0.23132989883992133,-0.6814009769150549,-0.7048943774835944,-1.0128222810358054,-0.5243597547769471,-1.3501916923676733,-0.23835016026974196,-0.3505934900113913,-0.2457107479259178,-0.09004383601757932,-0.49809406709469356,0.4221153995523096,-0.26244821149891545,0.39384946014458905,0.6644744062020693,0.6597983274002978,-0.21080094150214843,-0.45839024503447906,-0.3303976052537154,-0.10757725007415761,0.21843011584713873,-0.08602139992103093,-0.2644157833934036,-0.29943529715392725,0.40527424714450266,-0.29321517878054304,0.8648364137764457,0.914502677451658,0.6237840906702457,0.81945712862237,2.1313390185939696,0.14543768262351406,0.01635445879800468,0.5223325508033344,0.8461827669599082,1.1736130824291697,-0.3141553790483013,0.04750660025410388,1.0849680349428452,-0.8859960529555155,0.762951507703092,-0.24105039630190803,-0.061755066693708456,2.7092355292315258,2.095337184086381
